"customer_id","full_name","email","city","state","customer_segment","registration_date"
242,"Paula Ford","dreilly@example.net","Simsburgh","Oregon","Platinum","2022-10-11"
172,"Robert Lynch","joshuastuart@example.com","Samanthaberg","Virginia","Gold","2022-10-09"
313,"Emily Anderson","carpenterjorge@example.net","Juliechester","Maine","Gold","2022-10-01"
312,"Rebecca Wood","emiller@example.org","North Jonfurt","Maryland","Gold","2022-09-07"
246,"Donald Bush","audrey21@example.com","Whiteshire","South Dakota","Gold","2022-08-19"
278,"Maria Harrison","shannon51@example.org","New Stephanie","Alaska","Platinum","2022-08-17"
519,"Cynthia Wilkinson","collinsann@example.org","East Danamouth","Colorado","Platinum","2022-07-30"
263,"Peter Hernandez","rebecca90@example.net","Richardland","Mississippi","Gold","2022-07-24"
196,"Jesse Jackson","warddiana@example.org","New Justinside","Pennsylvania","Platinum","2022-07-11"
371,"Javier Horton","myerskyle@example.org","Loriland","Iowa","Platinum","2022-07-10"
177,"Kristie Moore","odavis@example.org","Lake Nicolefurt","Delaware","Gold","2022-07-06"
567,"Victoria Chavez","amy14@example.net","Mayside","Florida","Gold","2022-07-01"
294,"Yolanda Vasquez","sandersalexandra@example.net","Jamesfurt","Delaware","Platinum","2022-06-29"
448,"Caitlyn Nelson","cindy96@example.com","Cassandrahaven","Minnesota","Gold","2022-06-28"
54,"Eric Olson","bellangela@example.org","Michaelburgh","Georgia","Gold","2022-06-26"
41,"Laura Pearson","tylerjohnson@example.net","South Kimberlyview","Michigan","Gold","2022-06-16"
225,"Wendy Warren","charlesfrank@example.com","Hansonmouth","Arizona","Gold","2022-06-16"
463,"James Riley","mary16@example.com","Tommyland","Maine","Gold","2022-04-21"
245,"Katherine Fowler","manuellee@example.com","New Michael","Massachusetts","Gold","2022-04-19"
51,"Daniel Gordon","acostaregina@example.net","West Claudia","Pennsylvania","Gold","2022-04-04"
462,"Melissa Hopkins","michaeljohnson@example.net","Peterchester","Louisiana","Platinum","2022-03-26"
430,"Susan Porter","karen52@example.net","Lake Steven","South Dakota","Platinum","2022-03-26"
159,"Erica Sims","jeremywiley@example.com","Lunahaven","Michigan","Platinum","2022-03-23"
18,"Michael Hicks","sheila14@example.org","West Bradley","Nevada","Gold","2022-03-21"
345,"Robin Anderson","lynchadam@example.org","Thompsontown","Delaware","Platinum","2022-03-20"
526,"Angela Rowe","woodsmelvin@example.com","South Kerri","Maine","Gold","2022-03-19"
451,"Carolyn Garza","barbaramitchell@example.net","North Terrychester","Washington","Platinum","2022-03-03"
241,"James Campbell","parkerwilliam@example.com","South Eric","New Jersey","Platinum","2022-03-01"
407,"Randall Evans","imcclain@example.com","West Billy","Montana","Platinum","2022-03-01"
486,"Juan Fleming","christopher38@example.com","South Steven","New Hampshire","Gold","2022-02-25"
316,"John Jimenez","clayanthony@example.net","Lake Cindymouth","Massachusetts","Platinum","2022-02-19"
581,"David Pollard","gnichols@example.net","Brownburgh","Alaska","Gold","2022-02-15"
322,"Richard Sandoval","nturner@example.com","Lake John","South Dakota","Platinum","2022-02-05"
575,"Emily Mckee","tochoa@example.net","North Crystal","Michigan","Platinum","2022-02-05"
368,"Cody Hale","allenmonica@example.com","Martinborough","North Carolina","Gold","2022-01-25"
500,"Kara Smith","henrycheryl@example.net","Maryport","Texas","Gold","2022-01-18"
4,"Noah Mayo","gabriellecameron@example.org","Wilkersonmouth","Georgia","Gold","2022-01-05"
423,"Becky Moyer","duane52@example.org","South Christopher","Virginia","Gold","2022-01-01"
173,"Theresa Thompson","jennifer58@example.com","North Ellen","Illinois","Gold","2021-12-27"
330,"Michael Johnson","kaylarobbins@example.net","Lake Tinahaven","Maine","Gold","2021-12-18"
75,"Tanner Bird","cherylmiller@example.com","Port Tammy","Nevada","Gold","2021-12-15"
528,"Kevin Davis","bvaldez@example.org","Lake Michelletown","Hawaii","Platinum","2021-12-10"
388,"Christopher Graham","martinsarah@example.com","Kentfurt","Tennessee","Platinum","2021-11-30"
234,"Angela Black","leescott@example.com","South Robert","New Hampshire","Platinum","2021-11-27"
474,"Tina Stokes","danielgilmore@example.net","Lake Shannonberg","South Dakota","Gold","2021-11-22"
243,"Perry Larson","janet50@example.com","Hunterfort","North Carolina","Gold","2021-11-10"
102,"Alice Allen","lisa46@example.org","Lake Albertburgh","Colorado","Platinum","2021-11-09"
533,"Julia Miller","ysanford@example.org","Hillburgh","Louisiana","Gold","2021-11-07"
285,"Robert Peters","jamescollier@example.com","East Josefort","Delaware","Platinum","2021-11-02"
254,"Adrian Jimenez","jenniferadams@example.net","Lake Jessica","Wisconsin","Gold","2021-10-26"
169,"Emily Clements","marcia37@example.com","Mariaport","Oklahoma","Gold","2021-10-22"
408,"Julie Santana","elizabethvaughan@example.net","East Erichaven","Alabama","Platinum","2021-10-14"
72,"Erin Cisneros","melindagregory@example.com","Nathanland","Oregon","Platinum","2021-10-09"
482,"Catherine Mendoza","douglascharles@example.net","Heidihaven","Connecticut","Gold","2021-10-02"
288,"Amy Brennan","joseph51@example.net","North Jeffery","North Carolina","Platinum","2021-09-15"
346,"Mitchell Lee","walkerandrew@example.com","Port Danielle","Delaware","Platinum","2021-09-09"
457,"Patricia Lopez","alvarezalyssa@example.com","Nelsonville","Arkansas","Gold","2021-08-17"
202,"Susan Cooper","victorclark@example.net","East Lauren","West Virginia","Gold","2021-08-13"
470,"Brian Martinez","lwebb@example.org","East William","Vermont","Gold","2021-08-04"
235,"Harold Garza","nicoledavis@example.com","Williamsburgh","Michigan","Gold","2021-08-02"
170,"Nathaniel Rodriguez","travisunderwood@example.net","Lake Maryshire","Delaware","Gold","2021-07-25"
100,"Martha Porter","jonathan77@example.com","Port Adamberg","South Dakota","Gold","2021-07-24"
303,"Michael Hernandez","juliecannon@example.com","East Lauraport","New Jersey","Gold","2021-07-21"
436,"Eric Harrison","lukejohnson@example.net","West Richardport","Virginia","Gold","2021-06-30"
59,"Lisa Young","jonathanthompson@example.org","Welchview","Pennsylvania","Platinum","2021-06-27"
20,"Martha Torres","russellcarpenter@example.net","Port James","Alaska","Gold","2021-06-22"
570,"Rachel Stanton","imcdonald@example.net","Port Teresa","Kansas","Gold","2021-06-05"
150,"Pamela Rivera","brandonalvarez@example.com","Jacobsland","Illinois","Gold","2021-05-31"
380,"Patrick Parker","ortizbenjamin@example.org","Johnsonstad","South Dakota","Gold","2021-05-31"
375,"Joann Todd","brownnicholas@example.com","Dawnton","North Dakota","Gold","2021-05-22"
586,"Michele Sosa","danajimenez@example.net","Johnsonton","Ohio","Gold","2021-05-16"
417,"Stacey Henson","jennifer69@example.com","West Joseph","Pennsylvania","Gold","2021-05-10"
15,"Cassandra Robbins","gracefarrell@example.net","North Sierraberg","Ohio","Gold","2021-04-14"
251,"Laura Frazier","wrobbins@example.org","Danielport","Alaska","Gold","2021-04-10"
228,"Donna Alvarado","michelle04@example.net","East Sandraport","Michigan","Platinum","2021-04-05"
62,"Paul King","mathewaguilar@example.org","Andrewport","Idaho","Platinum","2021-03-21"
39,"William Hill","pbaird@example.com","Loriport","Washington","Platinum","2021-03-09"
81,"Erin Wilson","longlaura@example.com","Lake Mason","New Mexico","Gold","2021-03-07"
137,"Christine Sanchez","victor87@example.org","Timothyfort","Minnesota","Gold","2021-02-27"
122,"Nathan Mckee","brettgarrett@example.net","Lake Matthewville","Nevada","Gold","2021-02-02"
359,"Timothy Sosa","zadams@example.net","Duncanstad","Kentucky","Platinum","2021-02-01"
232,"Kimberly Anderson","xjoseph@example.org","East Saramouth","South Carolina","Platinum","2021-01-25"
488,"Brandon Wilson","lopezwilliam@example.com","West Daniel","North Carolina","Gold","2021-01-23"
550,"Scott Rowland","tonyflores@example.net","West Warren","Massachusetts","Platinum","2021-01-13"
190,"Zachary Sullivan","johnsjessica@example.com","Garymouth","New Jersey","Platinum","2021-01-12"
94,"Jennifer Coleman","pmorrow@example.com","Harperton","Kansas","Gold","2021-01-02"
362,"Cassandra Taylor","alan44@example.com","Latoyamouth","Illinois","Platinum","2020-12-28"
354,"Robert Gonzalez","danielleharris@example.org","South Jeffreytown","South Dakota","Gold","2020-12-17"
85,"Hannah Burns","ybailey@example.net","Douglasfort","Indiana","Gold","2020-11-26"
513,"Jose Garcia","xrivera@example.net","Baxtermouth","California","Gold","2020-10-29"
404,"Zachary Cuevas","sullivanchristina@example.net","East Charles","Florida","Gold","2020-10-28"
444,"Kimberly Lopez","kennethnichols@example.org","West Jose","Idaho","Gold","2020-10-19"
147,"Gloria Mayer","thomasmiller@example.net","Port James","Arizona","Gold","2020-10-04"
454,"David Flores","karenbarron@example.com","Jenniferstad","Oklahoma","Gold","2020-10-04"
494,"Christina Mcknight","jonessamantha@example.com","Floresburgh","North Carolina","Gold","2020-10-01"
307,"Michael Burnett","nicholsjoel@example.com","Port Kimberlyfort","New Mexico","Gold","2020-09-16"
464,"Shawn Robinson","brownkevin@example.com","Richardsland","Maine","Platinum","2020-09-13"
220,"Rachel Pierce","megan66@example.net","New Derekport","Alabama","Platinum","2020-08-25"
191,"Brittany Hall","banderson@example.org","New Amber","Alabama","Gold","2020-08-21"
542,"Maria Hardy","coxjennifer@example.net","Clarkville","Michigan","Platinum","2020-08-07"
324,"Alan Mccoy","fpetty@example.net","New Andrewshire","Massachusetts","Gold","2020-07-16"
56,"Scott Nelson","reeddaniel@example.net","Marktown","New York","Platinum","2020-07-10"
337,"Isaac Singh","martinezmichael@example.org","Port Jessica","Colorado","Gold","2020-07-06"
490,"Daniel Lewis","william89@example.net","New Thomashaven","North Dakota","Platinum","2020-07-03"
455,"Donna Moss","heatherjones@example.com","Kathleenport","Virginia","Gold","2020-06-28"
36,"Jeremy Craig","keyemily@example.com","South Michaelmouth","Massachusetts","Gold","2020-06-24"
403,"Kevin Hodge","richard51@example.net","Rhodesberg","New Mexico","Gold","2020-06-20"
420,"Amy Meyers","harristimothy@example.net","New Kennethhaven","Nebraska","Platinum","2020-05-18"
63,"Matthew Miranda","jeremytaylor@example.org","Williamsstad","Utah","Gold","2020-05-04"
65,"Monique Williams","jsawyer@example.org","Sarahchester","Arkansas","Platinum","2020-04-26"
378,"Justin West","josephharrington@example.org","Dickersonport","Rhode Island","Gold","2020-04-17"
151,"Jason Holloway","xmalone@example.org","Williamsstad","Virginia","Platinum","2020-04-16"
187,"April Moody","dharrison@example.org","Diazland","North Dakota","Platinum","2020-04-03"
310,"Andrew Johnson","rebeccamccann@example.org","Ayalamouth","Utah","Gold","2020-03-29"
431,"Stephanie Hall","lindseypena@example.net","Williamsfurt","Kansas","Gold","2020-03-15"
583,"Douglas Ryan","michelle90@example.net","Chandlermouth","Colorado","Gold","2020-03-06"
266,"Jill Burns","ruizsamantha@example.org","North Tylerbury","California","Platinum","2020-02-14"
534,"Emily Jacobs","erikanelson@example.com","North Jenna","Iowa","Platinum","2020-01-11"
