order_id,order_date,order_status,customer_name,email,days_in_processing,order_value,alert_level
1345,2023-03-04,Processing,Jason Walker,daviddominguez@example.org,668,2181.91,CRITICAL
2057,2023-03-06,Processing,Christina Mcknight,jonessamantha@example.com,666,4583.48,CRITICAL
1488,2023-03-06,Processing,Steven Miller,sanchezcrystal@example.net,666,2174.89,CRITICAL
2338,2023-03-09,Processing,Anna Johnson,tiffany25@example.com,663,1482.46,CRITICAL
4037,2023-03-22,Processing,Donald Horne,zlopez@example.org,650,67.98,CRITICAL
325,2023-03-28,Processing,Monique Williams,jsawyer@example.org,644,1548.88,CRITICAL
2994,2023-03-30,Processing,Katie Jordan,steven25@example.org,642,67.47,CRITICAL
4756,2023-03-31,Processing,Devin Williams,larrygraham@example.net,641,612.37,CRITICAL
2063,2023-03-31,Processing,Erin Cisneros,melindagregory@example.com,641,442.07,CRITICAL
1227,2023-04-06,Processing,Johnny Turner,uwillis@example.com,635,37.99,CRITICAL
668,2023-04-18,Processing,Michele Sosa,danajimenez@example.net,623,633.92,CRITICAL
4603,2023-04-18,Processing,Christian Vega,wendyburton@example.net,623,927.53,CRITICAL
4284,2023-04-19,Processing,Dustin Johnson,mark10@example.org,622,2153.48,CRITICAL
4564,2023-04-23,Processing,Zachary Sullivan,johnsjessica@example.com,618,794.88,CRITICAL
1894,2023-04-27,Processing,David Reeves,sophiali@example.com,614,709.91,CRITICAL
3398,2023-05-11,Processing,Eric Olson,bellangela@example.org,600,411.25,CRITICAL
2040,2023-05-12,Processing,Alan Mccoy,fpetty@example.net,599,2780.64,CRITICAL
3786,2023-05-13,Processing,Ronald Simpson,shelly68@example.com,598,63.72,CRITICAL
2247,2023-05-13,Processing,Bryan Stout,richardhaynes@example.com,598,223.98,CRITICAL
1990,2023-05-15,Processing,Daniel Gordon,acostaregina@example.net,596,8.99,CRITICAL
4210,2023-05-15,Processing,Chelsea Henderson,john10@example.org,596,3062.82,CRITICAL
3268,2023-05-16,Processing,Zachary Sullivan,johnsjessica@example.com,595,239.98,CRITICAL
3597,2023-05-28,Processing,Matthew Richards,wwashington@example.org,583,953.88,CRITICAL
1699,2023-05-30,Processing,Raymond Goodman,charles27@example.com,581,3117.92,CRITICAL
4450,2023-06-05,Processing,Scott Robinson,pgarcia@example.org,575,229.47,CRITICAL
2290,2023-06-06,Processing,Corey Pearson,novaksara@example.org,574,449.97,CRITICAL
193,2023-06-13,Processing,Paul King,mathewaguilar@example.org,567,150.97,CRITICAL
1707,2023-06-15,Processing,Paige Taylor,vwatson@example.net,565,223.55,CRITICAL
3411,2023-06-19,Processing,Daniel Gordon,acostaregina@example.net,561,192.16,CRITICAL
3132,2023-06-27,Processing,Patrick Kaiser,wbean@example.net,553,1036.92,CRITICAL
1196,2023-06-27,Processing,Crystal Williams,kingdanielle@example.org,553,479.94,CRITICAL
3832,2023-06-30,Processing,Timothy Gonzales,robertabbott@example.net,550,1044.90,CRITICAL
2924,2023-07-01,Processing,Christy Johnson,riverapamela@example.org,549,170.99,CRITICAL
2953,2023-07-09,Processing,Chelsea Garrison,colonbobby@example.org,541,832.36,CRITICAL
2246,2023-07-23,Processing,Laura Pearson,tylerjohnson@example.net,527,2512.36,CRITICAL
371,2023-07-28,Processing,Brian Bond,ysimpson@example.com,522,1332.64,CRITICAL
4301,2023-07-29,Processing,Robert Randall,gmcdowell@example.org,521,288.94,CRITICAL
1954,2023-08-01,Processing,Kristie Moore,odavis@example.org,518,26.97,CRITICAL
3545,2023-08-03,Processing,Alyssa Sanders,john10@example.net,516,79.98,CRITICAL
1177,2023-08-05,Processing,Taylor Johnson,holmescrystal@example.com,514,44.98,CRITICAL
540,2023-08-14,Processing,Todd Kim,amy73@example.net,505,445.44,CRITICAL
4410,2023-08-14,Processing,Logan Scott,pettyamber@example.com,505,2157.43,CRITICAL
1092,2023-08-23,Processing,Jose Spencer,inewton@example.org,496,99.96,CRITICAL
2898,2023-08-26,Processing,Carrie Dominguez,zedwards@example.com,493,683.96,CRITICAL
2254,2023-08-27,Processing,Sydney Mcdonald,khill@example.com,492,2894.39,CRITICAL
2843,2023-08-28,Processing,April Foster,breanna67@example.net,491,749.98,CRITICAL
1806,2023-09-02,Processing,Eric Olson,bellangela@example.org,486,1707.67,CRITICAL
3720,2023-09-02,Processing,Eric George,nicole69@example.net,486,2099.97,CRITICAL
4845,2023-09-09,Processing,Melissa Phillips,andrea23@example.org,479,551.07,CRITICAL
3475,2023-09-15,Processing,Stephen Lawrence,tamarasmith@example.net,473,3355.38,CRITICAL
4649,2023-09-16,Processing,Christy Johnson,riverapamela@example.org,472,5856.63,CRITICAL
3248,2023-09-19,Processing,Maria Ellison,jenna62@example.com,469,1265.95,CRITICAL
2369,2023-09-23,Processing,Jennifer Snow,patricia71@example.com,465,274.97,CRITICAL
1539,2023-09-23,Processing,David Holmes,wilsonjerry@example.net,465,178.47,CRITICAL
1343,2023-09-29,Processing,Timothy Sosa,zadams@example.net,459,563.05,CRITICAL
633,2023-10-04,Processing,Angela Black,leescott@example.com,454,913.14,CRITICAL
1999,2023-10-06,Processing,Rodney Morales,joshuacollins@example.net,452,2954.94,CRITICAL
2535,2023-10-11,Processing,Michael Mcdonald,lrodriguez@example.net,447,1464.93,CRITICAL
2723,2023-10-16,Processing,Justin West,josephharrington@example.org,442,2989.41,CRITICAL
49,2023-10-16,Processing,Amanda Lee,bwall@example.com,442,69.98,CRITICAL
4483,2023-10-21,Processing,Andrea Gray,christianwallace@example.net,437,580.59,CRITICAL
418,2023-10-21,Processing,Shane Santos,thomas21@example.net,437,314.46,CRITICAL
4433,2023-10-26,Processing,Mark Thornton,wkemp@example.net,432,729.42,CRITICAL
3343,2023-10-27,Processing,Rodney Morales,joshuacollins@example.net,431,775.20,CRITICAL
599,2023-10-27,Processing,Nicholas Ruiz,barbarapennington@example.net,431,194.95,CRITICAL
3993,2023-10-30,Processing,Christopher Johnson,martinashley@example.org,428,74.97,CRITICAL
2775,2023-10-31,Processing,Teresa Anderson,arodriguez@example.com,427,973.91,CRITICAL
4138,2023-11-03,Processing,Edward Patterson,carol62@example.net,424,455.96,CRITICAL
3283,2023-11-05,Processing,Mary Aguilar,russellwilliams@example.com,422,2003.65,CRITICAL
2028,2023-11-06,Processing,Robert Randall,gmcdowell@example.org,421,1510.45,CRITICAL
1460,2023-11-08,Processing,Noah Mayo,gabriellecameron@example.org,419,47.48,CRITICAL
4794,2023-11-13,Processing,Katie Lopez,jennywilliams@example.org,414,18.98,CRITICAL
1746,2023-11-15,Processing,Rachel Medina,glasssamantha@example.net,412,716.41,CRITICAL
4882,2023-11-16,Processing,Stephen Obrien,markaustin@example.org,411,1785.91,CRITICAL
2513,2023-11-18,Processing,Pamela Cowan,wendy75@example.org,409,996.93,CRITICAL
3715,2023-11-21,Processing,Diana Abbott,sloanjeffery@example.com,406,1257.41,CRITICAL
1718,2023-11-22,Processing,Tina Walker,gmendoza@example.com,405,145.06,CRITICAL
138,2023-11-25,Processing,Jennifer Coleman,pmorrow@example.com,402,784.95,CRITICAL
3464,2023-11-25,Processing,Donna Moss,heatherjones@example.com,402,80.97,CRITICAL
1767,2023-11-27,Processing,Heather Santos,melissa86@example.com,400,1668.91,CRITICAL
3643,2023-12-01,Processing,David Holmes,wilsonjerry@example.net,396,1409.88,CRITICAL
3486,2023-12-01,Processing,Joseph Olson,baileyandrea@example.com,396,272.01,CRITICAL
3163,2023-12-05,Processing,David Miller,waustin@example.net,392,3504.94,CRITICAL
2881,2023-12-10,Processing,Amanda Lee,bwall@example.com,387,713.88,CRITICAL
1887,2023-12-15,Processing,Michael Bruce,lisamccarthy@example.com,382,579.39,CRITICAL
1303,2023-12-17,Processing,Michelle Kaiser,schmittlinda@example.net,380,754.89,CRITICAL
2021,2023-12-19,Processing,Daniel Jones,markwatson@example.net,378,847.90,CRITICAL
1031,2023-12-22,Processing,Sara Cole,suzanne01@example.net,375,429.95,CRITICAL
3689,2023-12-27,Processing,Jocelyn Krueger,rebecca73@example.org,370,317.92,CRITICAL
2088,2023-12-28,Processing,Melissa Hopkins,michaeljohnson@example.net,369,1524.28,CRITICAL
1646,2023-12-29,Processing,Mary Burns,cunninghamlaura@example.org,368,235.44,CRITICAL
3894,2023-12-29,Processing,Brandon Kim,acosta@example.com,368,2571.38,CRITICAL
1713,2023-12-31,Processing,April King,vclark@example.net,366,282.40,CRITICAL
2821,2024-01-01,Processing,Sara Mendez,ostone@example.com,365,548.69,CRITICAL
2400,2024-01-05,Processing,Alicia Henderson,shawphillip@example.net,361,553.94,CRITICAL
1900,2024-01-05,Processing,Robert Parrish,julieatkinson@example.org,361,1941.86,CRITICAL
712,2024-01-12,Processing,Kimberly Lee,qgay@example.com,354,116.14,CRITICAL
2694,2024-01-14,Processing,Derrick Aguirre,uortega@example.com,352,6659.87,CRITICAL
4865,2024-01-17,Processing,Kayla Friedman,unovak@example.org,349,50.97,CRITICAL
1963,2024-01-19,Processing,Maria Hardy,coxjennifer@example.net,347,2847.45,CRITICAL
1013,2024-01-21,Processing,Jasmine Patrick,jacobbond@example.net,345,66.45,CRITICAL
3713,2024-01-24,Processing,April Drake,michaeljones@example.net,342,229.47,CRITICAL
385,2024-01-26,Processing,Cody Weber,carlfields@example.org,340,325.92,CRITICAL
4639,2024-01-26,Processing,Jacob Johnson,dillonharvey@example.org,340,448.92,CRITICAL
2697,2024-02-04,Processing,Alice Allen,lisa46@example.org,331,538.45,CRITICAL
1439,2024-02-07,Processing,Donna Moss,heatherjones@example.com,328,3222.43,CRITICAL
3895,2024-02-07,Processing,Monique Williams,jsawyer@example.org,328,1071.85,CRITICAL
1056,2024-02-09,Processing,Luke Klein,oclark@example.net,326,904.80,CRITICAL
4131,2024-02-12,Processing,Kathy Beard,tali@example.com,323,395.42,CRITICAL
1938,2024-02-14,Processing,Jasmine Patrick,jacobbond@example.net,321,979.86,CRITICAL
1396,2024-02-17,Processing,Steven Jones,vjames@example.com,318,494.39,CRITICAL
3887,2024-02-20,Processing,Joseph Olson,baileyandrea@example.com,315,185.45,CRITICAL
2170,2024-02-22,Processing,Ryan Simmons,palmerteresa@example.net,313,961.46,CRITICAL
90,2024-02-22,Processing,Shawn Thompson,johnsonanthony@example.net,313,2335.38,CRITICAL
1932,2024-02-25,Processing,Eric Barber,oscar47@example.com,310,1524.95,CRITICAL
509,2024-02-25,Processing,Michael Anderson,qjones@example.com,310,1350.42,CRITICAL
3564,2024-02-25,Processing,Joan Cook,rachael29@example.net,310,784.92,CRITICAL
2983,2024-02-26,Processing,James Brooks,rodriguezbrian@example.net,309,521.29,CRITICAL
4596,2024-03-01,Processing,Jocelyn Krueger,rebecca73@example.org,305,505.88,CRITICAL
1364,2024-03-06,Processing,Steven Miller,sanchezcrystal@example.net,300,2171.47,CRITICAL
4730,2024-03-07,Processing,Wayne Price,anthonyharper@example.org,299,493.96,CRITICAL
3916,2024-03-08,Processing,Angela Gonzales,andersonkylie@example.net,298,157.94,CRITICAL
3235,2024-03-10,Processing,Devin Williams,larrygraham@example.net,296,35.96,CRITICAL
1102,2024-03-11,Processing,Gloria Wells,deckerchristopher@example.org,295,271.96,CRITICAL
3051,2024-03-15,Processing,Michael Lambert,craigharvey@example.org,291,3143.88,CRITICAL
3706,2024-03-15,Processing,Gary Hancock,fwatkins@example.org,291,541.47,CRITICAL
4223,2024-03-22,Processing,Maria Ellison,jenna62@example.com,284,3632.94,CRITICAL
40,2024-03-26,Processing,Tracy Mccormick,grantryan@example.com,280,997.47,CRITICAL
258,2024-03-28,Processing,Kimberly Arnold,gonzalezterrence@example.org,278,199.92,CRITICAL
3097,2024-03-30,Processing,Sergio Miller,steven22@example.net,276,553.94,CRITICAL
313,2024-04-07,Processing,Heather Owens,johnnavarro@example.com,268,585.86,CRITICAL
2150,2024-04-14,Processing,Tanya Hunter,martinjason@example.com,261,689.41,CRITICAL
2594,2024-04-16,Processing,Joshua Obrien,flopez@example.com,259,575.88,CRITICAL
4496,2024-04-16,Processing,Wayne Bates,katherinetaylor@example.org,259,594.93,CRITICAL
2558,2024-04-16,Processing,Gloria Wells,deckerchristopher@example.org,259,335.65,CRITICAL
2566,2024-04-16,Processing,Noah Mayo,gabriellecameron@example.org,259,1186.62,CRITICAL
998,2024-04-17,Processing,Brian Hayes,kathleenjackson@example.org,258,559.88,CRITICAL
4942,2024-04-17,Processing,Jose Hutchinson,oliverdawn@example.net,258,367.95,CRITICAL
2787,2024-04-26,Processing,Stephen Lawrence,tamarasmith@example.net,249,2463.85,CRITICAL
169,2024-04-27,Processing,Tina Stokes,danielgilmore@example.net,248,4294.88,CRITICAL
1514,2024-05-03,Processing,Mason Choi,parkerkatie@example.com,242,594.99,CRITICAL
3820,2024-05-06,Processing,Danielle Alvarez,william28@example.org,239,62.99,CRITICAL
120,2024-05-14,Processing,David Miller,waustin@example.net,231,2551.33,CRITICAL
4104,2024-05-15,Processing,Joan Cook,rachael29@example.net,230,1952.38,CRITICAL
2965,2024-05-19,Processing,Samantha Ramos,cheryl61@example.org,226,28.47,CRITICAL
4167,2024-05-19,Processing,Tamara Higgins,tamirodriguez@example.org,226,3408.95,CRITICAL
4245,2024-05-23,Processing,Maria Nelson,derrick99@example.org,222,893.61,CRITICAL
2428,2024-05-26,Processing,Stephanie Williams,shawnamartinez@example.org,219,417.92,CRITICAL
2903,2024-05-29,Processing,Joshua Molina,xmiller@example.com,216,834.90,CRITICAL
2300,2024-06-01,Processing,Patrick Parker,ortizbenjamin@example.org,213,149.97,CRITICAL
3551,2024-06-02,Processing,April King,vclark@example.net,212,231.43,CRITICAL
1770,2024-06-05,Processing,Brian Ford,jennifer64@example.org,209,1715.23,CRITICAL
4159,2024-06-06,Processing,Nicole Smith,pdavidson@example.org,208,74.97,CRITICAL
2376,2024-06-08,Processing,Kristie Moore,odavis@example.org,206,419.93,CRITICAL
462,2024-06-13,Processing,Matthew Richards,wwashington@example.org,201,13.58,CRITICAL
3830,2024-06-14,Processing,Mary Burns,cunninghamlaura@example.org,200,356.92,CRITICAL
4640,2024-06-14,Processing,Cathy Jones,simmonsspencer@example.net,200,345.67,CRITICAL
1677,2024-06-15,Processing,Richard Sandoval,nturner@example.com,199,59.97,CRITICAL
2,2024-06-18,Processing,Zachary Marsh,justin84@example.com,196,1085.35,CRITICAL
1463,2024-06-20,Processing,Diane Hudson,angelagrant@example.net,194,721.55,CRITICAL
4719,2024-06-27,Processing,Jasmine Patrick,jacobbond@example.net,187,1060.39,CRITICAL
3189,2024-06-29,Processing,Eric Harrison,lukejohnson@example.net,185,5164.91,CRITICAL
4754,2024-06-30,Processing,Joshua Colon,hreid@example.net,184,88.98,CRITICAL
4999,2024-07-06,Processing,John Marshall,frogers@example.com,178,1417.85,CRITICAL
1706,2024-07-11,Processing,Derrick Aguirre,uortega@example.com,173,73.75,CRITICAL
1555,2024-07-13,Processing,Travis Salas,taylor75@example.org,171,371.94,CRITICAL
4667,2024-07-14,Processing,Michael Lee,mark54@example.net,170,636.43,CRITICAL
1931,2024-07-14,Processing,Anthony Munoz,nelsonamanda@example.net,170,2960.39,CRITICAL
1332,2024-07-14,Processing,Jose Garcia,xrivera@example.net,170,3689.40,CRITICAL
890,2024-07-15,Processing,Zachary Sullivan,johnsjessica@example.com,169,1724.89,CRITICAL
3433,2024-07-18,Processing,Valerie Peck,paulcombs@example.com,166,762.92,CRITICAL
1040,2024-07-18,Processing,Tanner Bird,cherylmiller@example.com,166,309.93,CRITICAL
422,2024-07-21,Processing,Jesse Jackson,warddiana@example.org,163,427.49,CRITICAL
3276,2024-07-24,Processing,Anthony Munoz,nelsonamanda@example.net,160,331.91,CRITICAL
412,2024-07-29,Processing,Russell Smith,jamiegoodwin@example.org,155,3069.93,CRITICAL
1773,2024-07-29,Processing,Lisa Monroe,wagnergerald@example.org,155,4047.86,CRITICAL
4226,2024-07-29,Processing,Tammy Welch,christopher85@example.com,155,246.95,CRITICAL
3512,2024-07-30,Processing,Melissa Thomas,kyleclark@example.org,154,129.99,CRITICAL
2354,2024-08-01,Processing,Timothy Sosa,zadams@example.net,152,609.81,CRITICAL
4303,2024-08-05,Processing,Stacey Henson,jennifer69@example.com,148,661.44,CRITICAL
4211,2024-08-13,Processing,Chris Kirk,peterhenry@example.org,140,4669.88,CRITICAL
3046,2024-08-14,Processing,Maria Ellison,jenna62@example.com,139,287.95,CRITICAL
4049,2024-08-15,Processing,Elizabeth Roberts,traviswatts@example.org,138,1484.91,CRITICAL
250,2024-08-16,Processing,Zoe Meadows,jasonwilliams@example.net,137,3964.51,CRITICAL
1524,2024-08-16,Processing,Steve Brown,nelsonvalerie@example.org,137,2145.42,CRITICAL
4826,2024-08-21,Processing,Joshua Lee,ginaschmitt@example.com,132,3047.91,CRITICAL
1034,2024-08-22,Processing,Meghan Gonzalez,harrisondaniel@example.org,131,5557.59,CRITICAL
4239,2024-08-23,Processing,Michael Anderson,qjones@example.com,130,748.92,CRITICAL
1751,2024-08-27,Processing,Nathaniel Rodriguez,travisunderwood@example.net,126,458.93,CRITICAL
3584,2024-08-28,Processing,Sarah Johnson,ywelch@example.org,125,287.96,CRITICAL
2478,2024-08-29,Processing,Carolyn Ortiz,woodkeith@example.net,124,1484.87,CRITICAL
4377,2024-08-29,Processing,Alex Smith,smithconnor@example.org,124,1508.85,CRITICAL
512,2024-08-30,Processing,Robert Parrish,julieatkinson@example.org,123,985.41,CRITICAL
3923,2024-08-30,Processing,Tracey Lewis,andrew48@example.net,123,1379.88,CRITICAL
1873,2024-08-31,Processing,Michael Lee,mark54@example.net,122,150.18,CRITICAL
113,2024-09-01,Processing,Rebecca York,eugenewalker@example.com,121,1045.40,CRITICAL
4201,2024-09-11,Processing,Charles Smith,ibarrett@example.org,111,99.96,CRITICAL
3429,2024-09-11,Processing,Lisa Young,jonathanthompson@example.org,111,247.95,CRITICAL
4403,2024-09-13,Processing,Courtney Padilla,daltonchad@example.net,109,879.40,CRITICAL
357,2024-09-15,Processing,Brian Ford,jennifer64@example.org,107,1799.96,CRITICAL
784,2024-09-18,Processing,Catherine Mendoza,douglascharles@example.net,104,400.44,CRITICAL
2120,2024-09-19,Processing,Jerry Mckinney,williamwelch@example.com,103,3785.96,CRITICAL
3695,2024-09-19,Processing,Alexandria Baker,crawfordwilliam@example.org,103,1000.85,CRITICAL
1320,2024-09-26,Processing,Kathy Harrison,kaitlinhale@example.com,96,433.47,CRITICAL
3776,2024-09-26,Processing,Elizabeth Mills,carlos88@example.net,96,79.47,CRITICAL
1349,2024-09-28,Processing,Marie Villarreal,ronald04@example.com,94,8.99,CRITICAL
2454,2024-09-29,Processing,Kristie Lucas,pvargas@example.com,93,331.47,CRITICAL
3889,2024-10-01,Processing,Thomas Rogers,lopezmichael@example.org,91,431.96,CRITICAL
2878,2024-10-07,Processing,James Fox,james18@example.com,85,713.94,CRITICAL
4160,2024-10-07,Processing,Brian Hayes,kathleenjackson@example.org,85,408.94,CRITICAL
698,2024-10-08,Processing,Thomas Burke,brownjeffrey@example.org,84,5528.62,CRITICAL
2909,2024-10-12,Processing,Megan Young,boydmaria@example.net,80,862.92,CRITICAL
4251,2024-10-12,Processing,Michelle Brown,stephen29@example.org,80,235.96,CRITICAL
2044,2024-10-13,Processing,Amy Cisneros,ewingnicole@example.org,79,83.70,CRITICAL
3387,2024-10-13,Processing,Michael Anderson,qjones@example.com,79,258.41,CRITICAL
3037,2024-10-14,Processing,Nicole Simpson,jtaylor@example.com,78,959.91,CRITICAL
1737,2024-10-15,Processing,Brian Ford,jennifer64@example.org,77,450.42,CRITICAL
1398,2024-10-18,Processing,Anthony Munoz,nelsonamanda@example.net,74,1329.98,CRITICAL
1891,2024-10-20,Processing,Ashley Henry,kalvarez@example.net,72,127.47,CRITICAL
1971,2024-10-20,Processing,Jessica Smith,francisco02@example.com,72,4679.96,CRITICAL
4549,2024-10-22,Processing,Angela Smith,kellymueller@example.net,70,1251.17,CRITICAL
3165,2024-10-24,Processing,Katherine Ayers,hartcraig@example.com,68,994.37,CRITICAL
2652,2024-10-24,Processing,David Holmes,wilsonjerry@example.net,68,1579.12,CRITICAL
4230,2024-10-26,Processing,Joshua Wood,daniel21@example.com,66,3525.89,CRITICAL
4646,2024-10-29,Processing,Joshua Obrien,flopez@example.com,63,199.45,CRITICAL
582,2024-11-02,Processing,Angela Mcbride,williamsbailey@example.net,59,3394.90,CRITICAL
2038,2024-11-04,Processing,Jeffrey Anderson,jeremiahmiller@example.org,57,303.96,CRITICAL
1391,2024-11-04,Processing,Tracy Mccoy,amy41@example.org,57,598.88,CRITICAL
111,2024-11-06,Processing,Anthony Perkins,nhammond@example.org,55,1399.94,CRITICAL
576,2024-11-07,Processing,Deborah Best,davidhenry@example.com,54,215.92,CRITICAL
361,2024-11-07,Processing,Michael Mcdonald,lrodriguez@example.net,54,139.98,CRITICAL
4325,2024-11-08,Processing,Jason Stone,cory42@example.org,53,324.08,CRITICAL
2375,2024-11-09,Processing,Heather Ellis,wgoodwin@example.com,52,75.99,CRITICAL
