customer_id,customer_name,customer_segment,lifetime_value
462,Melissa Hopkins,Platinum,12015.18
322,Richard Sandoval,Platinum,11971.20
438,Valerie Mcmillan,Bronze,11968.07
217,Donna Williams,Bronze,11959.45
549,Kimberly Lee,Bronze,11952.76
196,Jesse Jackson,Platinum,11922.55
341,Douglas Orozco,Silver,11871.53
274,Patricia Vargas,Silver,11784.90
101,Carlos Hernandez,Silver,11764.41
502,Mary Shields,Bronze,11759.74
311,David Reeves,Silver,11618.02
143,Brandon Kim,Bronze,11578.55
575,Emily Mckee,Platinum,11487.28
579,Dean Cruz,Bronze,11475.18
457,Patricia Lopez,Gold,11471.62
216,Shawn Parsons,Bronze,11448.20
30,John Alvarez,Silver,11368.87
40,Mary Carpenter,Bronze,11276.64
85,Hannah Burns,Gold,11271.98
589,Kelly Sims,Silver,11252.52
266,Jill Burns,Platinum,11232.63
250,Carmen Jennings,Silver,11129.62
434,Jose Hutchinson,Silver,11082.74
259,Sara Cole,Bronze,11073.28
499,Mckenzie Guerrero,Bronze,11070.88
16,Mary Aguilar,Bronze,11013.55
106,Eric Price,Bronze,11005.85
306,Jonathan Lawrence,Bronze,11004.03
308,Robert Randall,Silver,10980.93
379,Eric Barber,Bronze,10961.01
187,April Moody,Platinum,10847.01
243,Perry Larson,Gold,10833.60
148,Christian Vega,Bronze,10810.54
262,Chelsey White,Silver,10787.79
188,Nicholas Solomon,Gold,10769.37
87,Denise Gilmore,Bronze,10744.87
206,Abigail Cole,Bronze,10744.41
134,Tami Clark,Bronze,10711.69
33,Victoria Wilson,Bronze,10704.90
163,Haley Castillo,Silver,10644.63
288,Amy Brennan,Platinum,10606.30
404,Zachary Cuevas,Gold,10604.11
335,April Foster,Bronze,10596.08
586,Michele Sosa,Gold,10590.70
99,Leah Bowen,Bronze,10588.79
566,Sarah Johnson,Silver,10585.09
516,Michael Lee,Gold,10581.08
573,Heather Bauer,Bronze,10569.08
95,Bradley Gonzales,Silver,10568.17
162,Catherine Taylor,Bronze,10542.15
94,Jennifer Coleman,Gold,10525.99
276,Courtney Padilla,Bronze,10500.41
418,Lindsey Mullins,Bronze,10466.65
465,Antonio Fitzpatrick,Silver,10463.40
137,Christine Sanchez,Gold,10443.31
497,Amanda Lee,Silver,10420.69
463,James Riley,Gold,10395.64
513,Jose Garcia,Gold,10393.57
4,Noah Mayo,Gold,10295.58
120,Philip Thomas,Bronze,10294.14
477,David Holmes,Silver,10269.77
165,Mary Vaughn,Gold,10250.14
285,Robert Peters,Platinum,10248.27
25,Anne Johnson,Bronze,10226.28
515,Tracy Mccormick,Bronze,10224.60
362,Cassandra Taylor,Platinum,10223.89
427,Maria Ellison,Bronze,10209.85
451,Carolyn Garza,Platinum,10199.35
558,Edward Foley,Bronze,10169.12
529,David Hunter,Bronze,10161.96
61,Lisa Monroe,Gold,10156.00
294,Yolanda Vasquez,Platinum,10149.93
388,Christopher Graham,Platinum,10139.44
595,Katie Lopez,Bronze,10120.94
372,Laura Rivas,Silver,10108.64
521,Heidi Baker,Silver,10054.97
218,Bruce Grant,Silver,10052.71
54,Eric Olson,Gold,10029.27
559,Dominique Harris,Silver,10013.59
461,Wesley Fischer,Silver,10005.34
272,Pamela Thomas,Gold,9968.64
64,John Wallace,Silver,9917.20
77,Matthew Bradshaw,Platinum,9848.63
92,Brian Ford,Bronze,9836.26
110,Marie Jones,Bronze,9832.09
53,Gloria Wells,Bronze,9810.75
533,Julia Miller,Gold,9805.60
440,Amy James,Silver,9783.40
221,Tracey Lewis,Platinum,9754.94
11,Corey Pearson,Bronze,9696.87
599,Melissa Archer,Bronze,9696.21
