customer_segment,customer_name,lifetime_value,rank_in_segment,dense_rank_in_segment,quartile
Bronze,Elizabeth Ortiz,13497.79,43,43,1
Bronze,Gregory Hansen,13315.85,44,44,1
Bronze,Logan Scott,13199.48,45,45,1
Bronze,Jamie Hernandez,13183.74,46,46,1
Bronze,Lindsey Franklin,13100.07,47,47,1
Bronze,Darren Jacobson,12989.71,48,48,1
Bronze,Patricia Adkins,12775.82,49,49,1
Bronze,Justin Pugh,12767.14,50,50,1
Bronze,Ashley Snyder,12755.09,51,51,1
Bronze,Brian Hayes,12738.44,52,52,1
Bronze,Stephanie Ali,12655.77,53,53,2
Bronze,Dustin Cook,12613.88,54,54,2
Bronze,Alexander King,12553.52,55,55,2
Bronze,Joshua Wood,12476.64,56,56,2
Bronze,Albert Ballard,12469.30,57,57,2
Bronze,Anna Cruz,12284.30,58,58,2
Bronze,Chelsea Garrison,12264.49,59,59,2
Bronze,Megan Brown,12105.81,60,60,2
Bronze,Chris Kirk,12026.33,61,61,2
Bronze,Valerie Mcmillan,11968.07,62,62,2
Bronze,Donna Williams,11959.45,63,63,2
Bronze,Kimberly Lee,11952.76,64,64,2
Bronze,Mary Shields,11759.74,65,65,2
Bronze,Brandon Kim,11578.55,66,66,2
Bronze,Dean Cruz,11475.18,67,67,2
Bronze,Shawn Parsons,11448.20,68,68,2
Bronze,Mary Carpenter,11276.64,69,69,2
Bronze,Sara Cole,11073.28,70,70,2
Bronze,Mckenzie Guerrero,11070.88,71,71,2
Bronze,Mary Aguilar,11013.55,72,72,2
Bronze,Eric Price,11005.85,73,73,2
Bronze,Jonathan Lawrence,11004.03,74,74,2
Bronze,Eric Barber,10961.01,75,75,2
Bronze,Christian Vega,10810.54,76,76,2
Bronze,Denise Gilmore,10744.87,77,77,2
Bronze,Abigail Cole,10744.41,78,78,2
Bronze,Tami Clark,10711.69,79,79,2
Bronze,Victoria Wilson,10704.90,80,80,2
Bronze,April Foster,10596.08,81,81,2
Bronze,Leah Bowen,10588.79,82,82,2
Bronze,Heather Bauer,10569.08,83,83,2
Bronze,Catherine Taylor,10542.15,84,84,2
Bronze,Courtney Padilla,10500.41,85,85,2
Bronze,Lindsey Mullins,10466.65,86,86,2
Bronze,Philip Thomas,10294.14,87,87,2
Bronze,Anne Johnson,10226.28,88,88,2
Bronze,Tracy Mccormick,10224.60,89,89,2
Bronze,Maria Ellison,10209.85,90,90,2
Bronze,Edward Foley,10169.12,91,91,2
Bronze,David Hunter,10161.96,92,92,2
Bronze,Katie Lopez,10120.94,93,93,2
Bronze,Brian Ford,9836.26,94,94,2
Bronze,Marie Jones,9832.09,95,95,2
Bronze,Gloria Wells,9810.75,96,96,2
Bronze,Corey Pearson,9696.87,97,97,2
Bronze,Melissa Archer,9696.21,98,98,2
Bronze,Mason Choi,9579.39,99,99,2
Bronze,James Turner,9538.57,100,100,2
Bronze,Anita Graham,9476.14,101,101,2
Bronze,Christopher Mcdowell,9470.96,102,102,2
Bronze,Alicia Kent,9446.15,103,103,2
Bronze,Dean Thompson,9258.90,104,104,2
Bronze,Angela Mcbride,9253.71,105,105,3
Bronze,April King,9225.20,106,106,3
Bronze,Scott Robinson,9210.89,107,107,3
Bronze,Patrick Reilly,9147.77,108,108,3
Bronze,Ashlee Coffey,9132.56,109,109,3
Bronze,David Jones,9105.31,110,110,3
Bronze,Shawn Thompson,9095.06,111,111,3
Bronze,Robin Rodriguez,9056.75,112,112,3
Bronze,Sara Mendez,9022.66,113,113,3
Bronze,Diana Abbott,8924.03,114,114,3
Bronze,Cassandra Clarke,8845.82,115,115,3
Bronze,Julia Price,8776.68,116,116,3
Bronze,Dawn Wilcox,8748.29,117,117,3
Bronze,Anna Johnson,8484.62,118,118,3
Bronze,William Berg,8468.81,119,119,3
Bronze,Kristen Cox,8429.56,120,120,3
Bronze,Sergio Miller,8387.66,121,121,3
Bronze,Aaron Hardin,8353.48,122,122,3
Bronze,Derrick Aguirre,8310.69,123,123,3
Bronze,Steve Brown,8294.69,124,124,3
Bronze,Daniel Martin,8243.47,125,125,3
Bronze,Joel Gregory,8088.56,126,126,3
Bronze,Jennifer James,8042.98,127,127,3
Bronze,Christopher Smith,7917.21,128,128,3
Bronze,Jason Stone,7905.56,129,129,3
Bronze,Teresa Anderson,7869.26,130,130,3
Bronze,Mary Hardy,7860.54,131,131,3
Bronze,Amy White,7790.07,132,132,3
Bronze,Shane Santos,7695.69,133,133,3
Bronze,Jessica Coleman,7551.16,134,134,3
Bronze,Mckenzie Mills,7468.55,135,135,3
Bronze,Chelsea Henderson,7463.35,136,136,3
Bronze,Hailey Delacruz,7194.01,137,137,3
Bronze,Johnny Turner,7186.86,138,138,3
Bronze,Jennifer Snow,7091.21,139,139,3
Bronze,Madison Wagner,7051.62,140,140,3
Bronze,Brian Bond,7017.62,141,141,3
Bronze,Ronald Simpson,7011.15,142,142,3
Bronze,Michael Bautista,6940.27,143,143,3
Bronze,Mary Burns,6771.69,144,144,3
Bronze,Pamela Martin,6563.93,145,145,3
Bronze,Michael Ochoa,6560.49,146,146,3
Bronze,Taylor Johnson,6479.50,147,147,3
Bronze,Jeffrey Jones,6415.37,148,148,3
Bronze,John Alvarez,6413.64,149,149,3
Bronze,Samantha Anderson,6358.25,150,150,3
Bronze,Susan Morris,6349.70,151,151,3
Bronze,Wayne Price,6335.69,152,152,3
Bronze,Bryan Orozco,6199.94,153,153,3
Bronze,Robert Estes,6179.60,154,154,3
Bronze,Dennis Sanchez,6157.42,155,155,3
Bronze,Amy Moore,5962.23,156,156,3
Bronze,Sophia Berry,5913.90,157,157,4
Bronze,James Castillo,5856.50,158,158,4
Bronze,Adam Stevens,5807.58,159,159,4
Bronze,Kelly Jenkins,5799.55,160,160,4
Bronze,Matthew Richards,5742.71,161,161,4
Bronze,Jason Walker,5636.66,162,162,4
Bronze,Kristen Burch,5496.59,163,163,4
Bronze,Kevin Collins,5362.77,164,164,4
Bronze,Richard Becker,5341.00,165,165,4
Bronze,Janet Williams,5309.11,166,166,4
Bronze,Rebecca York,5195.21,167,167,4
Bronze,Troy Patel,5145.63,168,168,4
Bronze,Thomas Rogers,5118.58,169,169,4
Bronze,Megan Young,5054.15,170,170,4
Bronze,Bryan Taylor,5045.87,171,171,4
Bronze,Renee Brown,5015.90,172,172,4
Bronze,Holly Jensen,4897.64,173,173,4
Bronze,James Barrett,4893.84,174,174,4
Bronze,Bryan Williams,4876.14,175,175,4
Bronze,Jennifer Stone,4675.19,176,176,4
Bronze,Rachel Medina,4584.36,177,177,4
Bronze,Amanda Taylor,4334.03,178,178,4
Bronze,Mike Watson,4255.63,179,179,4
Bronze,John Murray,4216.95,180,180,4
Bronze,Tyler Ward,4184.66,181,181,4
Bronze,Dawn Coleman,4109.75,182,182,4
Bronze,Anthony White,4030.15,183,183,4
Bronze,Jay Johnson,3960.24,184,184,4
Bronze,Alex Browning,3821.91,185,185,4
Bronze,Kathy Beard,3798.61,186,186,4
Bronze,Zachary Marsh,3716.19,187,187,4
Bronze,Rachel Adams,3600.20,188,188,4
Bronze,Crystal Williams,3544.54,189,189,4
Bronze,Michael Jenkins,3460.35,190,190,4
Bronze,Robert Rivera,3352.03,191,191,4
Bronze,Kyle Griffin,3343.73,192,192,4
Bronze,Jennifer Allen,3335.24,193,193,4
Bronze,April Drake,3264.38,194,194,4
Bronze,Christopher White,3227.66,195,195,4
Bronze,Elaine Anderson,3169.19,196,196,4
Bronze,Charles Martin,3057.76,197,197,4
Bronze,Stephen Curry,2890.19,198,198,4
Bronze,Joan Greer,2708.23,199,199,4
Bronze,Nathaniel Knight,2369.31,200,200,4
Bronze,Nicole Smith,2196.69,201,201,4
Bronze,Andrew Compton,2152.60,202,202,4
Bronze,Ashley Patel,1868.85,203,203,4
Bronze,George Meza,1260.96,204,204,4
Bronze,Kathleen Harris,1127.80,205,205,4
Bronze,Edward Patterson,505.95,206,206,4
Bronze,Christopher Johnson,478.36,207,207,4
Gold,Donna Moss,24909.02,1,1,1
Gold,Eric Harrison,23152.48,2,2,1
Gold,Katherine Fowler,22616.26,3,3,1
Gold,Eric George,21569.17,4,4,1
Gold,Terri Reyes,21293.97,5,5,1
Gold,Rachel Stanton,21054.25,6,6,1
Gold,Kevin Hodge,19438.36,7,7,1
Gold,Michael Hernandez,18588.26,8,8,1
Gold,Cassandra Rogers,18554.06,9,9,1
Gold,Michael Burnett,18506.58,10,10,1
Gold,David Pollard,17731.92,11,11,1
Gold,Wendy Warren,17718.50,12,12,1
Gold,Martha Porter,17162.41,13,13,1
Gold,Stacey Henson,16873.18,14,14,1
Gold,Alan Mccoy,16772.51,15,15,1
Gold,Harold Garza,16612.64,16,16,1
Gold,Laura Pearson,16166.60,17,17,1
Gold,Jasmine Patrick,15812.62,18,18,1
Gold,Brittany Hall,15746.41,19,19,1
Gold,Douglas Ryan,15579.36,20,20,1
Gold,Emily Clements,15105.03,21,21,1
Gold,Theresa Thompson,15003.02,22,22,1
Gold,Matthew Miranda,14834.60,23,23,1
Gold,Justin West,14546.70,24,24,1
Gold,Mark Thornton,14352.39,25,25,1
Gold,Gloria Mayer,14228.69,26,26,1
Gold,Joseph Clayton,14204.57,27,27,1
Gold,Angela Sloan,14107.42,28,28,1
Gold,Nathan Mckee,14013.33,29,29,1
Gold,Lance Lawrence,13943.32,30,30,1
Gold,David Flores,13898.00,31,31,1
Gold,Katherine Ayers,13854.81,32,32,2
Gold,Mary Aguirre,13369.93,33,33,2
Gold,Cheryl Brown,13261.83,34,34,2
Gold,David Silva,12954.95,35,35,2
Gold,Catherine Mendoza,12497.72,36,36,2
Gold,Christina Mcknight,12108.45,37,37,2
Gold,Michael Hicks,12090.09,38,38,2
Gold,Patricia Lopez,11471.62,39,39,2
Gold,Hannah Burns,11271.98,40,40,2
Gold,Perry Larson,10833.60,41,41,2
Gold,Nicholas Solomon,10769.37,42,42,2
Gold,Zachary Cuevas,10604.11,43,43,2
Gold,Michele Sosa,10590.70,44,44,2
Gold,Michael Lee,10581.08,45,45,2
Gold,Jennifer Coleman,10525.99,46,46,2
Gold,Christine Sanchez,10443.31,47,47,2
Gold,James Riley,10395.64,48,48,2
Gold,Jose Garcia,10393.57,49,49,2
Gold,Noah Mayo,10295.58,50,50,2
Gold,Mary Vaughn,10250.14,51,51,2
Gold,Lisa Monroe,10156.00,52,52,2
Gold,Eric Olson,10029.27,53,53,2
Gold,Pamela Thomas,9968.64,54,54,2
Gold,Julia Miller,9805.60,55,55,2
Gold,Elizabeth Roberts,9624.99,56,56,2
Gold,Robert Parrish,9526.26,57,57,2
Gold,Joann Todd,9516.09,58,58,2
Gold,Pamela Rivera,9497.72,59,59,2
Gold,Donald Bush,9104.31,60,60,2
Gold,Susan Cooper,8990.67,61,61,2
Gold,Shannon Cook,8914.79,62,62,2
Gold,Renee Murphy,8873.84,63,63,3
Gold,Erin Wilson,8719.12,64,64,3
Gold,Rebecca Wood,8582.53,65,65,3
Gold,Becky Moyer,8518.86,66,66,3
Gold,Alexis Rodriguez,8488.05,67,67,3
Gold,Karen Martin,8449.88,68,68,3
Gold,Angela Rowe,8335.20,69,69,3
Gold,Austin Livingston,8277.75,70,70,3
Gold,Cody Hale,8212.59,71,71,3
Gold,Andrew Johnson,8171.23,72,72,3
Gold,Kari Norton,8130.64,73,73,3
Gold,Patrick Parker,8021.62,74,74,3
Gold,Angela Gonzales,8004.87,75,75,3
Gold,Ryan Simmons,7857.89,76,76,3
Gold,Jerry Mckinney,7780.73,77,77,3
Gold,Debbie Fisher,7406.84,78,78,3
Gold,Kristina Perez,7373.78,79,79,3
Gold,Jessica Singh,7313.44,80,80,3
Gold,Nathaniel Rodriguez,7162.89,81,81,3
Gold,Victoria Chavez,6898.32,82,82,3
Gold,Tanner Bird,6808.70,83,83,3
Gold,Wendy Lawson,6178.35,84,84,3
Gold,Danielle Johnson,5789.98,85,85,3
Gold,Tina Stokes,5732.54,86,86,3
Gold,John Marshall,5618.67,87,87,3
Gold,Samantha George,5504.36,88,88,3
Gold,Peter Hernandez,5404.47,89,89,3
Gold,Harry Middleton,5393.39,90,90,3
Gold,Pamela Cowan,5369.77,91,91,3
Gold,Laura Frazier,5189.73,92,92,3
Gold,Raymond Washington,5032.94,93,93,4
Gold,Jeremy Craig,4874.97,94,94,4
Gold,Michael Johnson,4824.47,95,95,4
Gold,Kathy Harrison,4763.21,96,96,4
Gold,Emily Anderson,4711.71,97,97,4
Gold,Sherry Parker,4530.13,98,98,4
Gold,Brian Martinez,4265.14,99,99,4
Gold,Cassandra Robbins,4097.46,100,100,4
Gold,Juan Fleming,3909.72,101,101,4
Gold,Amber Cooke,3792.96,102,102,4
Gold,Daniel Gordon,3732.37,103,103,4
Gold,Robert Lynch,3628.22,104,104,4
Gold,Brandon Wilson,3436.18,105,105,4
Gold,Robert Gonzalez,3354.15,106,106,4
Gold,Kimberly Hart,3286.49,107,107,4
Gold,Kimberly Lopez,3050.60,108,108,4
Gold,Stephanie Hall,2957.34,109,109,4
Gold,Shannon Allen,2903.31,110,110,4
Gold,Christine Miller,2793.03,111,111,4
Gold,Kara Smith,2367.18,112,112,4
Gold,Latoya Yu,2234.31,113,113,4
Gold,Kristie Moore,2176.03,114,114,4
Gold,Martha Torres,1939.73,115,115,4
Gold,Amy Cisneros,1905.82,116,116,4
Gold,Caitlyn Nelson,1825.26,117,117,4
Gold,Elizabeth Davidson,1645.44,118,118,4
Gold,Isaac Singh,1534.39,119,119,4
Gold,Thomas Delacruz,1043.05,120,120,4
Gold,Adrian Jimenez,905.77,121,121,4
Gold,William Moore,827.25,122,122,4
Platinum,Randall Evans,18971.24,1,1,1
Platinum,Erica Sims,18281.84,2,2,1
Platinum,Heather Russell,17194.58,3,3,1
Platinum,Maria Harrison,16921.12,4,4,1
Platinum,Paula Ford,16445.19,5,5,1
Platinum,Rachel Pierce,16423.34,6,6,1
Platinum,Robin Anderson,16020.96,7,7,1
Platinum,Zachary Sullivan,15827.81,8,8,1
Platinum,Kimberly Arnold,14773.35,9,9,1
Platinum,Alice Allen,14746.87,10,10,1
Platinum,Javier Horton,14672.82,11,11,1
Platinum,Julie Santana,14465.55,12,12,1
Platinum,Shawn Robinson,14213.41,13,13,1
Platinum,Kevin Davis,13593.90,14,14,1
Platinum,Jason Holloway,13025.54,15,15,1
Platinum,Melissa Hopkins,12015.18,16,16,1
Platinum,Richard Sandoval,11971.20,17,17,2
Platinum,Jesse Jackson,11922.55,18,18,2
Platinum,Emily Mckee,11487.28,19,19,2
Platinum,Jill Burns,11232.63,20,20,2
Platinum,April Moody,10847.01,21,21,2
Platinum,Amy Brennan,10606.30,22,22,2
Platinum,Robert Peters,10248.27,23,23,2
Platinum,Cassandra Taylor,10223.89,24,24,2
Platinum,Carolyn Garza,10199.35,25,25,2
Platinum,Yolanda Vasquez,10149.93,26,26,2
Platinum,Christopher Graham,10139.44,27,27,2
Platinum,Matthew Bradshaw,9848.63,28,28,2
Platinum,Tracey Lewis,9754.94,29,29,2
Platinum,John Jimenez,9537.23,30,30,2
Platinum,Kimberly Jones,9438.97,31,31,2
Platinum,Maria Hardy,9045.22,32,32,2
Platinum,Lisa Young,8695.89,33,33,3
Platinum,Donald Hoover,8141.36,34,34,3
Platinum,Daniel Lewis,8029.75,35,35,3
Platinum,Monique Williams,7836.26,36,36,3
Platinum,Kimberly Anderson,7605.66,37,37,3
Platinum,Mitchell Lee,7458.96,38,38,3
Platinum,Eric Thompson,7184.73,39,39,3
Platinum,James Campbell,7101.35,40,40,3
Platinum,Cynthia Wilkinson,6559.64,41,41,3
Platinum,Eric Clayton,6437.23,42,42,3
Platinum,Jessica Jackson,6244.84,43,43,3
Platinum,Scott Rowland,5901.60,44,44,3
Platinum,Abigail Warren,5883.34,45,45,3
Platinum,Melissa Thomas,5571.26,46,46,3
Platinum,Susan Porter,5305.45,47,47,3
Platinum,William Hill,4979.76,48,48,3
Platinum,Scott Nelson,4823.74,49,49,4
Platinum,Sharon White,4462.71,50,50,4
Platinum,Alexandria Baker,4272.28,51,51,4
Platinum,Joshua Colon,4252.06,52,52,4
Platinum,Donna Alvarado,4196.57,53,53,4
Platinum,Richard Davis,3949.65,54,54,4
Platinum,Emily Jacobs,3879.01,55,55,4
Platinum,Angela Black,3582.81,56,56,4
Platinum,Edward Cuevas,3487.52,57,57,4
Platinum,Travis Salas,3367.51,58,58,4
Platinum,Amy Meyers,3229.14,59,59,4
Platinum,Erin Cisneros,2975.61,60,60,4
Platinum,Jason Lee,2261.17,61,61,4
Platinum,Timothy Sosa,2064.26,62,62,4
Platinum,Ryan Jackson,1960.07,63,63,4
Platinum,Paul King,1517.68,64,64,4
Silver,James Cortez,29275.31,1,1,1
Silver,Ryan Anderson,28097.72,2,2,1
Silver,Melissa Ward,23134.16,3,3,1
Silver,Anthony Schultz,22272.03,4,4,1
Silver,Tracy Mccoy,22195.74,5,5,1
Silver,Logan Lee,22146.64,6,6,1
Silver,Debra Boyd,21485.38,7,7,1
Silver,Brandon Armstrong,20999.03,8,8,1
Silver,George Brooks,20703.03,9,9,1
Silver,Molly Robertson,20291.66,10,10,1
Silver,Margaret Morrison,20092.92,11,11,1
Silver,Patrick Kaiser,19016.25,12,12,1
Silver,Thomas Burke,19002.57,13,13,1
Silver,Anthony Munoz,18281.04,14,14,1
Silver,Kirsten Martinez,18079.88,15,15,1
Silver,Chloe Juarez,17670.72,16,16,1
Silver,Christopher Hale,17654.04,17,17,1
Silver,Kayla Wolfe,17433.55,18,18,1
Silver,Kevin Arellano,17418.91,19,19,1
Silver,David Miller,17400.94,20,20,1
Silver,Meghan Gonzalez,17213.85,21,21,1
Silver,Robert Marshall,17129.11,22,22,1
Silver,Marie Villarreal,17005.79,23,23,1
Silver,Stephen Obrien,16668.58,24,24,1
Silver,Mitchell Peters,16484.50,25,25,1
Silver,Tonya Chase,16398.38,26,26,1
Silver,Elizabeth Mills,16079.81,27,27,1
Silver,James Fox,15897.86,28,28,1
Silver,Alicia Henderson,15588.07,29,29,1
Silver,Cory Jennings,15309.88,30,30,1
Silver,Thomas Smith,15203.75,31,31,1
Silver,Phillip Moore,15172.79,32,32,1
Silver,Rodney Morales,15149.81,33,33,1
Silver,Shawn Davidson,14949.55,34,34,1
Silver,Sandra Barron,14902.92,35,35,1
Silver,Cody Weber,14622.97,36,36,1
Silver,Lisa Davis,14488.81,37,37,1
Silver,Monica Warren,14296.02,38,38,1
Silver,Jacob Johnson,14274.14,39,39,1
Silver,James Mclean,14033.28,40,40,1
Silver,Daniel Jones,13971.18,41,41,1
Silver,Joan Cook,13966.85,42,42,1
Silver,Hannah Sanchez,13954.06,43,43,1
Silver,Steven Jones,13953.84,44,44,1
Silver,Jessica Smith,13938.16,45,45,1
Silver,Michael Mcdonald,13890.57,46,46,1
Silver,Jonathan Ramsey,13885.90,47,47,1
Silver,Crystal Guzman,13737.59,48,48,1
Silver,Michael Williams,13736.51,49,49,1
Silver,Zoe Meadows,13717.16,50,50,1
Silver,Melissa Peterson,13633.81,51,51,1
Silver,Brian Watson,13562.23,52,52,1
Silver,Michelle Brown,13554.03,53,53,2
Silver,Jill Leblanc,13484.36,54,54,2
Silver,Monica Huffman,13406.60,55,55,2
Silver,Barbara Smith,13396.85,56,56,2
Silver,Alison Frank,13231.12,57,57,2
Silver,Michael Fletcher,13145.67,58,58,2
Silver,Monique Waller,13140.59,59,59,2
Silver,Jeffery Fields,13139.01,60,60,2
Silver,Joshua Riggs,13125.55,61,61,2
Silver,Kirsten Ward,12977.08,62,62,2
Silver,Christopher Hayes,12890.85,63,63,2
Silver,Raymond Goodman,12478.15,64,64,2
Silver,Gerald Reeves,12307.35,65,65,2
Silver,Stephen Lawrence,12239.88,66,66,2
Silver,Luke Klein,12214.81,67,67,2
Silver,Cheryl Chandler,12140.07,68,68,2
Silver,Douglas Orozco,11871.53,69,69,2
Silver,Patricia Vargas,11784.90,70,70,2
Silver,Carlos Hernandez,11764.41,71,71,2
Silver,David Reeves,11618.02,72,72,2
Silver,John Alvarez,11368.87,73,73,2
Silver,Kelly Sims,11252.52,74,74,2
Silver,Carmen Jennings,11129.62,75,75,2
Silver,Jose Hutchinson,11082.74,76,76,2
Silver,Robert Randall,10980.93,77,77,2
Silver,Chelsey White,10787.79,78,78,2
Silver,Haley Castillo,10644.63,79,79,2
Silver,Sarah Johnson,10585.09,80,80,2
Silver,Bradley Gonzales,10568.17,81,81,2
Silver,Antonio Fitzpatrick,10463.40,82,82,2
Silver,Amanda Lee,10420.69,83,83,2
Silver,David Holmes,10269.77,84,84,2
Silver,Laura Rivas,10108.64,85,85,2
Silver,Heidi Baker,10054.97,86,86,2
Silver,Bruce Grant,10052.71,87,87,2
Silver,Dominique Harris,10013.59,88,88,2
Silver,Wesley Fischer,10005.34,89,89,2
Silver,John Wallace,9917.20,90,90,2
Silver,Amy James,9783.40,91,91,2
Silver,Sharon Logan,9587.03,92,92,2
Silver,Tony Jones,9574.86,93,93,2
Silver,Gwendolyn Vasquez,9508.93,94,94,2
Silver,Amanda Wagner,9481.40,95,95,2
Silver,Jerry Carey,9423.98,96,96,2
Silver,Helen Peterson,9423.65,97,97,2
Silver,Jesse Chapman,9188.20,98,98,2
Silver,Joshua Molina,9111.98,99,99,2
Silver,Danielle Alvarez,9089.84,100,100,2
Silver,Jeffrey Anderson,9055.52,101,101,2
Silver,Michael Bruce,8883.35,102,102,2
Silver,Brandon Bautista,8876.75,103,103,2
Silver,Andre Nunez,8842.16,104,104,2
Silver,Michael Jones,8806.05,105,105,3
Silver,Randy Smith,8748.30,106,106,3
Silver,Joshua Lee,8748.02,107,107,3
Silver,Brittany Drake,8722.58,108,108,3
Silver,Matthew Atkinson,8691.47,109,109,3
Silver,Anthony Casey,8680.21,110,110,3
Silver,Amy Jones,8664.43,111,111,3
Silver,Jonathan Nichols,8487.99,112,112,3
Silver,Kevin Patrick,8346.40,113,113,3
Silver,Amy Lopez,8289.48,114,114,3
Silver,Benjamin Lucas,8229.81,115,115,3
Silver,Angela Smith,8207.24,116,116,3
Silver,Tanya Hunter,8129.87,117,117,3
Silver,Jeremy Ellis,8043.66,118,118,3
Silver,Bryan Stout,7996.70,119,119,3
Silver,Krystal Nguyen,7925.62,120,120,3
Silver,Kelly Hughes,7786.83,121,121,3
Silver,Nicole Pena,7786.15,122,122,3
Silver,Melissa Phillips,7772.22,123,123,3
Silver,Monique Henderson,7764.28,124,124,3
Silver,Cathy Jones,7713.45,125,125,3
Silver,Stephanie Williams,7619.82,126,126,3
Silver,Tammy Welch,7529.62,127,127,3
Silver,Dustin Johnson,7513.61,128,128,3
Silver,Eric Townsend,7490.54,129,129,3
Silver,Joseph Rios,7436.22,130,130,3
Silver,Donna Gomez,7399.12,131,131,3
Silver,Ronald Cain,7386.71,132,132,3
Silver,Ana Dean,7349.86,133,133,3
Silver,Crystal Ramirez,7293.47,134,134,3
Silver,Susan Gill,7231.01,135,135,3
Silver,Gregory Maxwell,7201.67,136,136,3
Silver,Dustin Ortega,7152.55,137,137,3
Silver,Jocelyn Krueger,7107.59,138,138,3
Silver,Nicole Simpson,6985.10,139,139,3
Silver,Richard David,6935.81,140,140,3
Silver,Peter Butler,6680.77,141,141,3
Silver,Carolyn Ortiz,6671.24,142,142,3
Silver,Larry Montgomery,6658.81,143,143,3
Silver,Michael Anderson,6638.52,144,144,3
Silver,Robert Fleming,6600.15,145,145,3
Silver,James Brooks,6558.70,146,146,3
Silver,Megan Newman,6426.00,147,147,3
Silver,Mary Stone,6400.14,148,148,3
Silver,Sean Padilla,6263.44,149,149,3
Silver,Nicole Aguirre,6256.23,150,150,3
Silver,Karen Marquez,6227.19,151,151,3
Silver,Dennis Marshall,6131.72,152,152,3
Silver,Kenneth Ho,5879.24,153,153,3
Silver,Ashley Henry,5839.97,154,154,3
Silver,Geoffrey Cantu,5732.92,155,155,3
Silver,Bradley Johnson,5712.67,156,156,3
Silver,Diane Jones,5696.35,157,157,4
Silver,Eric Cisneros,5631.19,158,158,4
Silver,Heather Ellis,5595.02,159,159,4
Silver,Tina Walker,5567.80,160,160,4
Silver,Matthew Jensen,5555.97,161,161,4
Silver,Alex Smith,5425.33,162,162,4
Silver,Danielle Garcia,5404.34,163,163,4
Silver,Heather Owens,5297.77,164,164,4
Silver,Kathryn Brown,5245.62,165,165,4
Silver,John Gill,5085.50,166,166,4
Silver,Michelle Kaiser,5012.51,167,167,4
Silver,Lynn Bentley,4966.36,168,168,4
Silver,Anthony Wang,4938.17,169,169,4
Silver,David Ryan,4905.38,170,170,4
Silver,Kimberly Mora,4824.49,171,171,4
Silver,Deborah Best,4796.13,172,172,4
Silver,Alexandra Meyer,4761.54,173,173,4
Silver,Sydney Mcdonald,4757.61,174,174,4
Silver,Roger Garcia,4230.68,175,175,4
Silver,Alyssa Sanders,4210.48,176,176,4
Silver,Wayne Young,4048.30,177,177,4
Silver,Jeffrey Walsh,3987.67,178,178,4
Silver,Christopher Hernandez,3951.76,179,179,4
Silver,Vanessa Davidson,3910.47,180,180,4
Silver,Ryan Larsen,3899.77,181,181,4
Silver,Heather Cross,3781.61,182,182,4
Silver,Donald Mcgee,3755.81,183,183,4
Silver,Eric Walters,3529.93,184,184,4
Silver,Edward Jenkins,3504.21,185,185,4
Silver,Jennifer Washington,3475.41,186,186,4
Silver,Andrea Gray,3474.73,187,187,4
Silver,Samantha Ramos,3365.50,188,188,4
Silver,Ryan Lawrence,3290.96,189,189,4
Silver,Marie Pope,3269.18,190,190,4
Silver,Kayla Friedman,3169.84,191,191,4
Silver,Kelly Brooks,3137.65,192,192,4
Silver,Katherine Bennett,3101.54,193,193,4
Silver,Lee Miller,3062.15,194,194,4
