customer_id,customer_name,customer_segment,registration_date,total_orders,lifetime_value
379,Eric Barber,Bronze,2021-11-06,29,12144.46
535,Cheryl Chandler,Silver,2022-04-13,24,12140.07
494,Christina Mcknight,Gold,2020-10-01,34,12108.45
18,Michael Hicks,Gold,2022-03-21,34,12090.09
445,Chris Kirk,Bronze,2020-03-12,29,12026.33
462,Melissa Hopkins,Platinum,2022-03-26,24,12015.18
134,Tami Clark,Bronze,2023-01-11,41,11984.05
322,Richard Sandoval,Platinum,2022-02-05,31,11971.20
438,Valerie Mcmillan,Bronze,2021-08-24,26,11968.07
217,Donna Williams,Bronze,2024-10-22,23,11959.45
196,Jesse Jackson,Platinum,2022-07-11,28,11922.55
101,Carlos Hernandez,Silver,2021-12-20,30,11914.36
246,Donald Bush,Gold,2022-08-19,24,11908.22
96,Ronald Simpson,Bronze,2021-06-30,25,11766.90
502,Mary Shields,Bronze,2024-01-01,28,11759.74
434,Jose Hutchinson,Silver,2024-03-02,28,11697.04
451,Carolyn Garza,Platinum,2022-03-03,33,11620.25
311,David Reeves,Silver,2021-09-09,26,11618.02
143,Brandon Kim,Bronze,2020-02-29,36,11578.55
276,Courtney Padilla,Bronze,2024-08-27,36,11566.24
427,Maria Ellison,Bronze,2023-07-17,31,11553.29
575,Emily Mckee,Platinum,2022-02-05,17,11487.28
579,Dean Cruz,Bronze,2024-09-05,22,11475.18
457,Patricia Lopez,Gold,2021-08-17,25,11471.62
216,Shawn Parsons,Bronze,2022-08-20,27,11448.20
572,Abigail Warren,Platinum,2023-01-13,26,11445.20
30,John Alvarez,Silver,2024-11-17,28,11368.87
40,Mary Carpenter,Bronze,2023-12-31,23,11276.64
85,Hannah Burns,Gold,2020-11-26,50,11271.98
266,Jill Burns,Platinum,2020-02-14,26,11232.63
531,Amy White,Bronze,2021-05-05,18,11167.51
250,Carmen Jennings,Silver,2020-03-14,16,11129.62
362,Cassandra Taylor,Platinum,2020-12-28,27,11119.82
106,Eric Price,Bronze,2023-03-26,35,11105.83
259,Sara Cole,Bronze,2023-07-30,21,11073.28
499,Mckenzie Guerrero,Bronze,2022-03-17,25,11070.88
286,Elizabeth Roberts,Gold,2023-07-25,22,11024.93
16,Mary Aguilar,Bronze,2021-07-02,37,11013.55
306,Jonathan Lawrence,Bronze,2023-04-20,24,11004.03
308,Robert Randall,Silver,2022-09-02,26,10980.93
187,April Moody,Platinum,2020-04-03,35,10847.01
25,Anne Johnson,Bronze,2022-12-19,28,10836.82
262,Chelsey White,Silver,2021-09-04,27,10787.79
188,Nicholas Solomon,Gold,2023-07-30,31,10769.37
294,Yolanda Vasquez,Platinum,2022-06-29,21,10745.84
87,Denise Gilmore,Bronze,2023-01-22,17,10744.87
206,Abigail Cole,Bronze,2024-08-19,23,10744.41
99,Leah Bowen,Bronze,2021-04-01,19,10732.77
33,Victoria Wilson,Bronze,2023-05-11,21,10704.90
163,Haley Castillo,Silver,2020-05-21,23,10644.63
288,Amy Brennan,Platinum,2021-09-15,19,10606.30
404,Zachary Cuevas,Gold,2020-10-28,14,10604.11
335,April Foster,Bronze,2021-11-26,43,10596.08
586,Michele Sosa,Gold,2021-05-16,47,10590.70
374,Dean Thompson,Bronze,2024-01-02,33,10585.38
566,Sarah Johnson,Silver,2024-01-08,27,10585.09
516,Michael Lee,Gold,2022-10-24,27,10581.08
573,Heather Bauer,Bronze,2022-08-24,22,10569.08
95,Bradley Gonzales,Silver,2024-06-30,37,10568.17
440,Amy James,Silver,2023-11-13,40,10561.07
94,Jennifer Coleman,Gold,2021-01-02,29,10525.99
418,Lindsey Mullins,Bronze,2023-06-13,24,10466.65
465,Antonio Fitzpatrick,Silver,2022-08-12,26,10463.40
137,Christine Sanchez,Gold,2021-02-27,20,10443.31
463,James Riley,Gold,2022-04-21,16,10395.64
4,Noah Mayo,Gold,2022-01-05,35,10295.58
120,Philip Thomas,Bronze,2020-02-20,17,10294.14
477,David Holmes,Silver,2023-06-19,27,10269.77
165,Mary Vaughn,Gold,2023-07-25,15,10250.14
285,Robert Peters,Platinum,2021-11-02,27,10248.27
515,Tracy Mccormick,Bronze,2022-05-07,34,10224.60
558,Edward Foley,Bronze,2022-09-06,26,10169.12
529,David Hunter,Bronze,2021-03-14,22,10161.96
61,Lisa Monroe,Gold,2023-09-17,18,10156.00
388,Christopher Graham,Platinum,2021-11-30,22,10139.44
595,Katie Lopez,Bronze,2020-11-01,43,10120.94
372,Laura Rivas,Silver,2021-10-20,29,10108.64
521,Heidi Baker,Silver,2023-06-03,22,10054.97
218,Bruce Grant,Silver,2021-08-13,21,10052.71
54,Eric Olson,Gold,2022-06-26,25,10029.27
221,Tracey Lewis,Platinum,2024-08-16,18,10021.88
559,Dominique Harris,Silver,2022-02-04,23,10013.59
461,Wesley Fischer,Silver,2020-09-22,22,10005.34
272,Pamela Thomas,Gold,2021-09-24,46,9968.64
64,John Wallace,Silver,2022-09-03,30,9917.20
304,Anita Graham,Bronze,2023-01-11,29,9890.08
92,Brian Ford,Bronze,2024-03-14,27,9836.26
110,Marie Jones,Bronze,2022-11-04,30,9832.09
53,Gloria Wells,Bronze,2022-05-14,27,9810.75
533,Julia Miller,Gold,2021-11-07,35,9805.60
270,Joshua Lee,Silver,2021-03-24,30,9767.69
268,Angela Gonzales,Gold,2023-05-26,20,9737.51
565,Jeffrey Anderson,Silver,2024-10-15,25,9711.45
599,Melissa Archer,Bronze,2021-06-06,21,9696.21
352,Sharon Logan,Silver,2023-03-25,17,9587.03
525,Mason Choi,Bronze,2021-08-12,19,9579.39
248,Tony Jones,Silver,2024-10-11,23,9574.86
150,Pamela Rivera,Gold,2021-05-31,18,9547.71
323,James Turner,Bronze,2020-05-17,28,9538.57
316,John Jimenez,Platinum,2022-02-19,21,9537.23
223,Robert Parrish,Gold,2023-06-29,27,9526.26
375,Joann Todd,Gold,2021-05-22,30,9516.09
428,Dawn Wilcox,Bronze,2020-03-16,30,9512.72
209,Gwendolyn Vasquez,Silver,2021-07-11,31,9508.93
14,Amanda Wagner,Silver,2021-03-25,21,9481.40
321,Christopher Mcdowell,Bronze,2024-02-03,25,9470.96
367,Alicia Kent,Bronze,2020-05-31,13,9446.15
212,Kimberly Jones,Platinum,2023-04-17,20,9438.97
492,Jerry Carey,Silver,2022-10-10,22,9423.98
240,Sara Mendez,Bronze,2020-03-30,24,9406.61
292,Rachel Medina,Bronze,2023-09-03,27,9381.13
397,Angela Mcbride,Bronze,2024-09-06,28,9253.71
484,Brian Bond,Bronze,2020-08-05,27,9241.14
511,April King,Bronze,2023-03-28,36,9225.20
118,Scott Robinson,Bronze,2021-11-17,9,9210.89
481,Jesse Chapman,Silver,2022-09-18,10,9188.20
517,Shawn Thompson,Bronze,2023-12-16,33,9185.78
458,Patrick Reilly,Bronze,2024-06-13,32,9147.77
261,Ashlee Coffey,Bronze,2020-11-19,17,9132.56
452,Joshua Molina,Silver,2023-12-12,22,9111.98
123,David Jones,Bronze,2021-05-14,23,9105.31
156,Danielle Alvarez,Silver,2020-12-09,27,9089.84
111,Robin Rodriguez,Bronze,2023-11-28,26,9056.75
542,Maria Hardy,Platinum,2020-08-07,25,9045.22
202,Susan Cooper,Gold,2021-08-13,35,9006.85
456,Diana Abbott,Bronze,2023-09-29,29,8924.03
204,Shannon Cook,Gold,2023-09-16,21,8914.79
115,Michael Bruce,Silver,2023-05-27,23,8883.35
398,Brandon Bautista,Silver,2022-06-21,27,8876.75
230,Renee Murphy,Gold,2022-11-08,31,8873.84
273,Cassandra Clarke,Bronze,2024-02-08,23,8845.82
180,Andre Nunez,Silver,2024-03-07,33,8842.16
370,Donald Hoover,Platinum,2023-02-09,25,8841.34
172,Robert Lynch,Gold,2022-10-09,19,8826.85
60,Michael Jones,Silver,2022-05-16,33,8806.05
366,Julia Price,Bronze,2024-06-18,21,8776.68
45,Randy Smith,Silver,2020-05-25,22,8748.30
139,Brittany Drake,Silver,2022-02-18,14,8722.58
59,Lisa Young,Platinum,2021-06-27,14,8695.89
28,Matthew Atkinson,Silver,2021-08-24,27,8691.47
480,Anthony Casey,Silver,2020-05-29,21,8680.21
476,Amy Jones,Silver,2021-06-26,14,8664.43
312,Rebecca Wood,Gold,2022-09-07,28,8582.53
320,Mckenzie Mills,Bronze,2022-04-27,22,8555.46
423,Becky Moyer,Gold,2022-01-01,34,8518.86
257,Alexis Rodriguez,Gold,2023-06-02,25,8488.05
161,Jonathan Nichols,Silver,2024-10-07,21,8487.99
281,Anna Johnson,Bronze,2020-01-29,23,8484.62
545,William Berg,Bronze,2021-11-08,20,8468.81
174,Karen Martin,Gold,2023-12-07,21,8449.88
600,Kristen Cox,Bronze,2024-09-30,28,8429.56
205,Sergio Miller,Bronze,2023-01-20,22,8387.66
97,Dennis Sanchez,Bronze,2024-11-21,19,8365.30
140,Aaron Hardin,Bronze,2024-03-23,19,8353.48
113,Kevin Patrick,Silver,2023-06-14,15,8346.40
526,Angela Rowe,Gold,2022-03-19,13,8335.20
514,Derrick Aguirre,Bronze,2023-12-05,11,8310.69
468,Steve Brown,Bronze,2022-11-27,21,8294.69
146,Amy Lopez,Silver,2023-03-01,21,8289.48
256,Austin Livingston,Gold,2023-10-28,24,8277.75
8,Monique Henderson,Silver,2020-04-03,24,8266.64
37,Daniel Martin,Bronze,2024-04-17,21,8243.47
131,Angela Smith,Silver,2024-09-16,23,8242.23
509,Kari Norton,Gold,2024-06-19,26,8230.62
70,Benjamin Lucas,Silver,2021-02-22,21,8229.81
368,Cody Hale,Gold,2022-01-25,16,8212.59
310,Andrew Johnson,Gold,2020-03-29,12,8171.23
560,Tanya Hunter,Silver,2024-03-31,23,8129.87
10,Donna Gomez,Silver,2022-07-17,23,8099.10
409,Joel Gregory,Bronze,2024-06-08,25,8088.56
568,Jeremy Ellis,Silver,2022-04-30,23,8043.66
52,Jennifer James,Bronze,2021-05-24,29,8042.98
490,Daniel Lewis,Platinum,2020-07-03,20,8029.75
380,Patrick Parker,Gold,2021-05-31,21,8021.62
396,Bryan Stout,Silver,2021-04-24,32,7996.70
107,Kelly Hughes,Silver,2020-01-04,26,7996.17
553,Krystal Nguyen,Silver,2021-06-19,17,7925.62
530,Christopher Smith,Bronze,2023-11-26,29,7917.21
166,Teresa Anderson,Bronze,2022-06-10,19,7869.26
295,Mary Hardy,Bronze,2023-11-05,18,7860.54
65,Monique Williams,Platinum,2020-04-26,31,7836.26
80,Nicole Pena,Silver,2024-02-29,19,7786.15
443,Jerry Mckinney,Gold,2024-06-28,32,7780.73
416,Melissa Phillips,Silver,2023-05-07,16,7772.22
567,Victoria Chavez,Gold,2022-07-01,36,7727.23
582,Shane Santos,Bronze,2020-11-13,38,7695.69
519,Cynthia Wilkinson,Platinum,2022-07-30,19,7686.07
377,Stephanie Williams,Silver,2022-03-04,30,7619.82
232,Kimberly Anderson,Platinum,2021-01-25,24,7605.66
527,Jessica Coleman,Bronze,2021-08-17,21,7551.16
67,Chelsea Henderson,Bronze,2022-04-06,18,7534.57
536,Tammy Welch,Silver,2022-09-04,35,7529.62
238,Dustin Johnson,Silver,2022-02-11,17,7513.61
214,Eric Townsend,Silver,2022-11-28,23,7490.54
346,Mitchell Lee,Platinum,2021-09-09,14,7458.96
83,Joseph Rios,Silver,2020-07-08,29,7436.22
142,Danielle Garcia,Silver,2021-03-27,25,7416.99
93,Debbie Fisher,Gold,2024-06-26,16,7406.84
358,Crystal Ramirez,Silver,2020-06-05,16,7394.92
280,Kristina Perez,Gold,2024-09-28,11,7373.78
227,Ana Dean,Silver,2021-09-28,23,7349.86
332,Jessica Singh,Gold,2024-04-20,23,7313.44
538,Susan Gill,Silver,2023-08-28,20,7231.01
138,Wayne Price,Bronze,2023-11-25,28,7207.07
69,Gregory Maxwell,Silver,2023-09-08,12,7201.67
233,Hailey Delacruz,Bronze,2024-11-04,33,7194.01
382,Johnny Turner,Bronze,2021-12-17,25,7186.86
425,Jason Walker,Bronze,2020-03-31,15,7171.54
170,Nathaniel Rodriguez,Gold,2021-07-25,14,7162.89
391,Dustin Ortega,Silver,2020-03-18,10,7152.55
510,Nicole Simpson,Silver,2023-05-07,19,7116.13
555,Jocelyn Krueger,Silver,2023-11-06,24,7107.59
241,James Campbell,Platinum,2022-03-01,20,7101.35
414,Jennifer Snow,Bronze,2021-09-08,14,7091.21
302,Madison Wagner,Bronze,2024-05-04,30,7051.62
124,Edward Jenkins,Silver,2024-05-13,26,7039.11
543,Heather Ellis,Silver,2023-08-06,20,6948.44
561,Michael Bautista,Bronze,2024-04-09,21,6940.27
13,Richard David,Silver,2020-11-30,18,6935.81
75,Tanner Bird,Gold,2021-12-15,19,6808.70
117,Mary Burns,Bronze,2023-09-11,31,6771.69
290,Melissa Thomas,Platinum,2023-10-05,19,6761.24
325,Bryan Orozco,Bronze,2023-02-13,34,6754.85
399,Michael Anderson,Silver,2022-10-26,22,6706.50
326,Peter Butler,Silver,2021-11-06,22,6680.77
336,Carolyn Ortiz,Silver,2023-03-05,22,6671.24
478,Larry Montgomery,Silver,2021-08-16,16,6658.81
29,John Marshall,Gold,2022-10-22,23,6608.59
279,Robert Fleming,Silver,2024-10-27,18,6600.15
446,Amy Moore,Bronze,2022-01-11,26,6571.19
144,Pamela Martin,Bronze,2024-01-23,25,6563.93
197,Michael Ochoa,Bronze,2022-05-28,24,6560.49
226,James Brooks,Silver,2023-07-14,18,6558.70
522,Taylor Johnson,Bronze,2023-02-16,21,6479.50
327,Eric Clayton,Platinum,2024-11-12,13,6437.23
103,Megan Newman,Silver,2020-12-31,26,6426.00
9,Jeffrey Jones,Bronze,2024-10-17,27,6415.37
21,John Alvarez,Bronze,2022-03-28,15,6413.64
442,Mary Stone,Silver,2020-06-02,23,6400.14
578,Susan Morris,Bronze,2023-01-05,22,6366.78
537,Samantha Anderson,Bronze,2021-10-19,23,6358.25
91,Sean Padilla,Silver,2024-05-16,17,6263.44
349,Nicole Aguirre,Silver,2022-10-21,22,6256.23
258,Jessica Jackson,Platinum,2022-10-16,20,6244.84
313,Emily Anderson,Gold,2022-10-01,26,6243.59
104,Karen Marquez,Silver,2020-08-10,28,6227.19
389,Kristen Burch,Bronze,2020-10-08,21,6208.45
79,Robert Estes,Bronze,2024-12-03,18,6179.60
432,Wendy Lawson,Gold,2024-10-31,28,6178.35
251,Laura Frazier,Gold,2021-04-10,31,6153.88
520,Sherry Parker,Gold,2023-10-16,19,6147.96
22,Dennis Marshall,Silver,2022-11-09,19,6131.72
584,Sophia Berry,Bronze,2021-05-07,6,5913.90
550,Scott Rowland,Platinum,2021-01-13,17,5901.60
466,Kenneth Ho,Silver,2023-08-03,23,5879.24
471,James Castillo,Bronze,2021-07-16,24,5856.50
298,Ashley Henry,Silver,2023-08-07,15,5839.97
597,Geoffrey Cantu,Silver,2024-07-08,35,5827.90
406,Adam Stevens,Bronze,2022-04-29,16,5807.58
576,Kelly Jenkins,Bronze,2022-02-08,20,5799.55
1,Danielle Johnson,Gold,2024-07-15,11,5789.98
384,Matthew Richards,Bronze,2023-02-18,22,5742.71
474,Tina Stokes,Gold,2021-11-22,17,5732.54
356,Bradley Johnson,Silver,2023-04-21,15,5712.67
55,Diane Jones,Silver,2020-04-13,18,5696.35
364,Eric Cisneros,Silver,2023-08-09,13,5631.19
411,Tina Walker,Silver,2022-07-07,33,5567.80
577,Matthew Jensen,Silver,2020-09-29,22,5555.97
66,Wayne Young,Silver,2020-05-20,25,5523.25
7,Samantha George,Gold,2024-12-18,26,5504.36
260,Alex Smith,Silver,2024-07-05,22,5425.33
263,Peter Hernandez,Gold,2022-07-24,13,5404.47
17,Harry Middleton,Gold,2024-11-29,14,5393.39
160,Pamela Cowan,Gold,2023-11-15,23,5369.77
469,Kevin Collins,Bronze,2023-12-23,11,5362.77
331,Richard Becker,Bronze,2023-03-21,19,5341.00
3,Janet Williams,Bronze,2024-04-12,15,5309.11
430,Susan Porter,Platinum,2022-03-26,15,5305.45
355,Heather Owens,Silver,2020-06-29,29,5297.77
562,Kathryn Brown,Silver,2022-12-12,13,5245.62
84,Bryan Taylor,Bronze,2020-01-08,15,5235.83
182,Rebecca York,Bronze,2021-10-08,17,5195.21
39,William Hill,Platinum,2021-03-09,18,5193.72
415,Troy Patel,Bronze,2022-07-25,15,5145.63
523,Thomas Rogers,Bronze,2024-04-28,17,5118.58
548,John Gill,Silver,2024-10-19,25,5085.50
449,Anthony White,Bronze,2022-01-21,16,5055.09
305,Megan Young,Bronze,2020-09-26,14,5054.15
505,Raymond Washington,Gold,2024-02-23,16,5032.94
